2025-08-12 21:15:53,426 | WARNING | Sleep for 4.079947 seconds and try again... (tryings = 5, bot id = 8358973050)
2025-08-12 21:16:02,961 | ERROR | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2025-08-12 21:16:02,961 | WARNING | Sleep for 5.007800 seconds and try again... (tryings = 6, bot id = 8358973050)
2025-08-12 21:16:14,023 | ERROR | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2025-08-12 21:16:14,024 | WARNING | Sleep for 5.022273 seconds and try again... (tryings = 7, bot id = 8358973050)
2025-08-12 21:16:22,876 | ERROR | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2025-08-12 21:16:22,877 | WARNING | Sleep for 5.097472 seconds and try again... (tryings = 8, bot id = 8358973050)
2025-08-12 21:16:32,720 | ERROR | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2025-08-12 21:16:32,721 | WARNING | Sleep for 4.877016 seconds and try again... (tryings = 9, bot id = 8358973050)
2025-08-12 21:16:42,705 | ERROR | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2025-08-12 21:16:42,706 | WARNING | Sleep for 5.001090 seconds and try again... (tryings = 10, bot id = 8358973050)
2025-08-12 21:16:53,022 | ERROR | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2025-08-12 21:16:53,022 | WARNING | Sleep for 4.994902 seconds and try again... (tryings = 11, bot id = 8358973050)
2025-08-12 21:17:03,226 | ERROR | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2025-08-12 21:17:03,227 | WARNING | Sleep for 4.878754 seconds and try again... (tryings = 12, bot id = 8358973050)
2025-08-12 21:17:13,457 | ERROR | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2025-08-12 21:17:13,458 | WARNING | Sleep for 4.940196 seconds and try again... (tryings = 13, bot id = 8358973050)
2025-08-12 21:17:23,891 | ERROR | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2025-08-12 21:17:23,892 | WARNING | Sleep for 4.909173 seconds and try again... (tryings = 14, bot id = 8358973050)
2025-08-12 21:17:34,380 | ERROR | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2025-08-12 21:17:34,381 | WARNING | Sleep for 5.090716 seconds and try again... (tryings = 15, bot id = 8358973050)
2025-08-12 21:17:44,778 | ERROR | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2025-08-12 21:17:44,779 | WARNING | Sleep for 4.970626 seconds and try again... (tryings = 16, bot id = 8358973050)
2025-08-12 21:17:55,185 | ERROR | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2025-08-12 21:17:55,186 | WARNING | Sleep for 4.827314 seconds and try again... (tryings = 17, bot id = 8358973050)
2025-08-12 21:18:05,311 | ERROR | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2025-08-12 21:18:05,311 | WARNING | Sleep for 4.984829 seconds and try again... (tryings = 18, bot id = 8358973050)
2025-08-12 21:18:15,468 | ERROR | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2025-08-12 21:18:15,469 | WARNING | Sleep for 5.299276 seconds and try again... (tryings = 19, bot id = 8358973050)
2025-08-12 21:18:26,006 | ERROR | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2025-08-12 21:18:26,007 | WARNING | Sleep for 5.123511 seconds and try again... (tryings = 20, bot id = 8358973050)
2025-08-12 21:18:36,581 | ERROR | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2025-08-12 21:18:36,582 | WARNING | Sleep for 4.930928 seconds and try again... (tryings = 21, bot id = 8358973050)
2025-08-12 21:18:46,748 | ERROR | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2025-08-12 21:18:46,748 | WARNING | Sleep for 5.038050 seconds and try again... (tryings = 22, bot id = 8358973050)
2025-08-12 21:18:57,317 | ERROR | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2025-08-12 21:18:57,318 | WARNING | Sleep for 4.998582 seconds and try again... (tryings = 23, bot id = 8358973050)
2025-08-12 21:19:07,939 | ERROR | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2025-08-12 21:19:07,940 | WARNING | Sleep for 5.257848 seconds and try again... (tryings = 24, bot id = 8358973050)
2025-08-12 21:19:18,416 | ERROR | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2025-08-12 21:19:18,417 | WARNING | Sleep for 4.986848 seconds and try again... (tryings = 25, bot id = 8358973050)
2025-08-12 21:19:28,598 | ERROR | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2025-08-12 21:19:28,598 | WARNING | Sleep for 5.054415 seconds and try again... (tryings = 26, bot id = 8358973050)
2025-08-12 21:19:38,867 | ERROR | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2025-08-12 21:19:38,867 | WARNING | Sleep for 5.106653 seconds and try again... (tryings = 27, bot id = 8358973050)
2025-08-12 21:19:49,136 | ERROR | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2025-08-12 21:19:49,136 | WARNING | Sleep for 4.972150 seconds and try again... (tryings = 28, bot id = 8358973050)
2025-08-12 21:19:59,268 | ERROR | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2025-08-12 21:19:59,268 | WARNING | Sleep for 4.979989 seconds and try again... (tryings = 29, bot id = 8358973050)
2025-08-12 21:20:09,864 | ERROR | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2025-08-12 21:20:09,864 | WARNING | Sleep for 4.938537 seconds and try again... (tryings = 30, bot id = 8358973050)
2025-08-12 21:20:20,121 | ERROR | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2025-08-12 21:20:20,121 | WARNING | Sleep for 4.958382 seconds and try again... (tryings = 31, bot id = 8358973050)
2025-08-12 21:20:30,258 | ERROR | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2025-08-12 21:20:30,259 | WARNING | Sleep for 5.121250 seconds and try again... (tryings = 32, bot id = 8358973050)
2025-08-12 21:20:40,608 | ERROR | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2025-08-12 21:20:40,608 | WARNING | Sleep for 5.032708 seconds and try again... (tryings = 33, bot id = 8358973050)
2025-08-12 21:20:50,912 | ERROR | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2025-08-12 21:20:50,913 | WARNING | Sleep for 5.064798 seconds and try again... (tryings = 34, bot id = 8358973050)
2025-08-12 21:21:01,294 | ERROR | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2025-08-12 21:21:01,296 | WARNING | Sleep for 4.947309 seconds and try again... (tryings = 35, bot id = 8358973050)
2025-08-12 21:21:11,457 | ERROR | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2025-08-12 21:21:11,459 | WARNING | Sleep for 4.999093 seconds and try again... (tryings = 36, bot id = 8358973050)
2025-08-12 21:21:21,853 | ERROR | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2025-08-12 21:21:21,854 | WARNING | Sleep for 5.022499 seconds and try again... (tryings = 37, bot id = 8358973050)
